journal	n	included
1251	722	423
1252	157	125
1253	882	600
1254	433	318
1255	348	250
1256	259	119
1257	21	2
1258	66	0
1259	1003	747
1260	7763	3353
1261	1081	588
1262	185	151
1263	2380	1509
1264	171	56
1265	67	45
1266	131	0
1267	1710	1290
1268	455	288
1269	1537	255
1270	797	597
1271	257	134
1272	646	435
1273	3	0
1274	265	171
1275	19	9
1276	12	6
1277	2211	1024
1278	4542	2786
1279	1754	1320
1280	358	219
1281	664	222
1282	696	484
1283	435	315
1284	800	110
1285	32	0
1286	126	60
1287	140	2
1288	12	7
1289	76	21
1290	86	56
1291	671	465
1292	773	346
1293	330	37
1294	358	181
1295	96	54
1296	280	0
1297	177	124
1298	518	324
1299	135	0
1300	559	322
1301	24	0
1302	109	89
1303	27	15
1304	206	91
1305	36	19
1306	2327	1311
1307	2	0
1308	112	65
1309	79	39
1310	21	17
1311	25	0
1312	8	0
1313	643	382
1314	1541	838
1315	132	68
1316	145	96
1317	185	22
1318	151	89
1319	56	0
1320	17	6
1321	105	58
1322	74	25
1323	92	0
1324	490	339
1325	600	486
1326	13	9
1327	214	118
1328	304	82
1329	121	62
1330	516	354
1331	755	455
1332	380	186
1333	110	83
1334	846	574
1335	1885	1410
1336	194	104
1337	1123	520
1338	7	3
1339	493	374
1340	216	0
1341	586	406
1342	271	142
1343	592	244
1344	34	7
1345	8157	5
1346	1324	999
1347	1049	706
1348	160	0
1349	196	0
1350	278	213
1351	351	0
1352	53	35
1353	696	391
1354	905	0
1355	269	108
1356	570	306
1357	93	49
1358	54	34
1359	1638	667
1360	1065	541
1361	339	213
1362	743	61
1363	708	357
1364	83	64
1365	714	1
1366	44	0
1367	109	62
1368	2429	1679
1369	21	0
1370	276	61
1371	88	0
1372	41	21
1373	48	28
1374	311	0
1375	257	1
1376	273	0
1377	18	6
1378	443	270
1379	114	0
1380	45	15
1381	127	42
1382	5	0
1383	2271	1551
1384	139	71
1385	8	0
1386	1957	810
1387	31	22
1388	699	403
1389	175	51
1390	97	61
1391	577	393
1392	3384	0
1393	191	125
1394	173	126
1395	1234	873
1396	167	0
1397	178	135
1398	452	336
1399	60	39
1400	135	53
1401	222	71
1402	245	137
1403	431	321
1404	36	0
1405	391	184
1406	127	50
1407	41	27
1408	395	0
1409	275	181
1410	518	293
1411	668	433
1412	246	72
1413	323	208
1414	49	19
1415	252	181
1416	721	511
1417	181	115
1418	64	33
1419	811	510
1420	53	0
1421	276	197
1422	144	67
1423	22	18
1424	48	28
1425	1836	1294
1426	464	344
1427	55	0
1428	2089	1612
1429	91	0
1430	2359	1603
1431	775	404
1432	85	34
1433	904	552
1434	301	219
1435	594	408
1436	416	243
1437	178	130
1438	255	112
1439	67	28
1440	47	0
1441	5	0
1442	972	0
1443	429	264
1444	5	0
1445	92	62
1446	1071	604
1447	359	217
1448	404	308
1449	418	242
1450	659	489
1451	411	262
1452	599	436
1453	24	5
1454	558	400
1455	364	5
1456	107	77
1457	485	49
1458	199	138
1459	494	260
1460	426	218
1461	2293	788
1462	1337	2
1463	156	100
1464	216	64
1465	435	0
1466	91	0
1467	286	182
1468	160	61
1469	153	84
1470	28	16
1471	687	371
1472	407	225
1473	3910	1335
1474	58	36
1475	1080	557
1476	995	676
1477	307	1
1478	359	178
1479	476	58
1480	470	271
1481	246	130
1482	12	6
1483	3380	2029
1484	24	7
1485	224	69
1486	282	0
1487	1179	656
1488	735	574
1489	1435	7
1490	57	0
1491	505	238
1492	421	200
1493	156	106
1494	115	57
1495	525	379
1496	380	134
1497	1707	1006
1498	208	93
1499	280	127
1500	35	0
1501	241	154
1502	1599	556
1503	775	500
1504	414	205
1505	428	328
1506	1954	730
1507	41	26
1508	117	52
1509	137	74
1510	566	394
1511	346	202
1512	3802	2532
1513	64	0
1514	1210	868
1515	173	127
1516	1056	651
1517	121	37
1518	987	1
1519	31	17
1520	340	253
1521	1292	11
1522	704	432
1523	1228	908
1524	235	0
1525	620	94
1526	24	0
1527	834	630
1528	355	199
1529	143	84
1530	1465	820
1531	843	433
1532	819	0
1533	24	10
1534	238	155
1535	332	0
1536	381	256
1537	13	5
1538	19	0
1539	464	1
1540	1	0
1541	1749	6
1542	88	39
1543	836	508
1544	243	180
1545	175	110
1546	794	515
1547	546	240
1548	1627	1159
1549	14	0
1550	140	88
1551	492	219
1552	109	73
1553	150	53
1554	452	335
1555	292	182
1556	60	21
1557	175	0
1558	230	0
1559	385	217
1560	656	490
1561	469	2
1562	9	0
1563	91	62
1564	30	20
1565	231	0
1566	85	0
1567	303	186
1568	295	147
1569	583	392
1570	382	0
1571	444	331
1572	756	481
1573	54	0
1574	120	67
1575	916	509
1576	566	413
1577	113	0
1578	530	378
1579	216	0
1580	2074	1328
1581	368	219
1582	532	344
1583	48	15
1584	166	0
1585	491	328
1586	219	115
1587	280	218
1588	468	252
1589	413	81
1590	117	0
1591	60	24
1592	96	5
1593	806	546
1594	155	0
1595	34	9
1596	153	51
1597	17	5
1598	678	269
1599	249	204
1600	594	19
1601	374	275
1602	500	160
1603	78	0
1604	1139	866
1605	325	241
1606	51	19
1607	361	227
1608	22	8
1609	149	113
1610	486	260
1611	70	39
1612	222	48
1613	1111	706
1614	149	98
1615	788	416
1616	1235	0
1617	195	151
1618	88	62
1619	1732	43
1620	38	29
1621	1473	1016
1622	1119	733
1623	2490	4
1624	134	67
1625	1103	621
1626	315	0
1627	305	187
1628	346	203
1629	120	0
1630	82	35
1631	131	97
1632	1168	791
1633	69	0
1634	28	18
1635	425	317
1636	559	466
1637	214	173
1638	921	645
1639	322	149
1640	51	15
1641	246	0
1642	2110	1387
1643	119	40
1644	66	46
1645	13	0
1646	680	398
1647	389	266
1648	540	374
1649	1017	545
1650	848	564
1651	555	319
1652	824	276
1653	260	167
1654	275	166
1655	7	0
1656	56	23
1657	894	573
1658	471	253
1659	284	210
1660	206	0
1661	353	135
1662	522	312
1663	646	457
1664	510	400
1665	83	0
1666	2077	1429
1667	463	208
1668	492	330
1669	191	100
1670	194	41
1671	181	108
1672	520	342
1673	439	5
1674	5604	1831
1675	1434	614
1676	89	61
1677	673	410
1678	579	145
1679	372	150
1680	51	22
1681	282	189
1682	132	94
1683	330	242
1684	498	388
1685	397	289
1686	629	417
1687	1106	746
1688	805	405
1689	455	317
1690	5974	3707
1691	38	8
1692	396	271
1693	582	424
1694	164	0
1695	183	0
1696	542	340
1697	148	20
1698	56	46
1699	3	0
1700	150	25
1701	368	127
1702	1025	1
1703	69	23
1704	200	113
1705	1198	865
1706	613	414
1707	2439	900
1708	13	8
1709	29	0
1710	21	0
1711	41	28
1712	183	61
1713	212	121
1714	520	381
1715	701	375
1716	185	124
1717	960	390
1718	1060	756
1719	16	7
1720	272	128
1721	245	0
1722	893	418
1723	204	153
1724	658	417
1725	21	8
1726	1276	645
1727	2428	1183
1728	1502	837
1729	2597	1382
1730	237	183
1731	6	0
1732	175	93
1733	42	7
1734	186	121
1735	2050	1140
1736	341	200
1737	564	63
1738	466	265
1739	9	7
1740	568	302
1741	622	466
1742	453	337
1743	159	72
1744	189	113
1745	88	40
1746	222	0
1747	30	9
1748	371	304
1749	395	193
1750	466	267
1751	115	0
1752	262	207
1753	281	96
1754	396	204
1755	331	227
1756	568	333
1757	446	333
1758	2001	1139
1759	143	54
1760	119	55
1761	172	38
1762	424	264
1763	302	144
1764	1756	1175
1765	715	579
1766	1322	683
1767	128	70
1768	1855	962
1769	1747	3
1770	744	5
1771	1111	637
1772	965	652
1773	104	3
1774	767	501
1775	23	7
1776	2421	1226
1777	636	0
1778	112	60
1779	166	113
1780	383	231
1781	797	11
1782	370	243
1783	65	33
1784	1091	612
1785	43	30
1786	443	285
1787	540	1
1788	250	158
1789	1647	1007
1790	412	175
1791	108	97
1792	903	14
1793	249	153
1794	92	52
1795	343	139
1796	99	49
1797	2879	1414
1798	147	0
1799	36	16
1800	1880	989
1801	73	0
1802	358	264
1803	167	0
1804	9	0
1805	337	125
1806	93	30
1807	548	358
1808	633	276
1809	466	326
1810	1886	1279
1811	1155	620
1812	282	37
1813	86	44
1814	1204	2
1815	234	170
1816	4	2
1817	464	312
1818	718	505
1819	322	225
1820	317	201
1821	458	334
1822	275	213
1823	248	151
1824	1353	1026
1825	606	388
1826	22	10
1827	2	0
1828	259	184
1829	1670	684
1830	170	112
1831	70	30
1832	52	0
1833	628	223
1834	95	2
1835	44	21
1836	573	346
1837	169	45
1838	144	0
1839	2525	1411
1840	591	324
1841	1558	706
1842	132	82
1843	379	256
1844	60	16
1845	42	0
1846	13	7
1847	212	146
1848	57	24
1849	442	263
1850	370	254
1851	4	0
1852	1442	1046
1853	1776	769
1854	26	0
1855	1624	21
1856	23	0
1857	562	311
1858	853	570
1859	186	85
1860	308	263
1861	38	16
1862	1135	833
1863	78	46
1864	334	128
1865	317	181
1866	353	104
1867	1286	841
1868	1415	444
1869	284	6
1870	235	126
1871	1402	408
1872	75	0
1873	1088	656
1874	539	365
1875	526	421
1876	24	6
1877	132	0
1878	336	215
1879	48	19
1880	46	22
1881	1619	397
1882	152	106
1883	36	0
